Name,Price,Rating,Specifications,URL
"Mi 10i (Midnight Black, 128 GB)","₹21,990","4.31,737 Ratings & 124 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP + 2MP | 16MP Front Camera4820 mAh BatteryQualcomm® Snapdragon™ 750G Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,https://www.flipkart.com/mi-10i-midnight-black-128-gb/p/itm780df69dfa0fe?pid=MOBFZ4RUR4CSZ6AE&lid=LSTMOBFZ4RUR4CSZ6AEM090GA&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFZ4RUR4CSZ6AE.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"7A (Matte Blue, 16 GB)","₹6,499","4.42,17,405 Ratings & 15,112 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP Rear Camera | 5MP Front Camera4000 mAh Li-Polymer BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 2 Years Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/7a-matte-blue-16-gb/p/itm117b7c03ad185?pid=MOBFHZ4BZ4HZ3UZ9&lid=LSTMOBFHZ4BZ4HZ3UZ9RUXKTR&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFHZ4BZ4HZ3UZ9.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Remi 6 (Gold, 32 GB)","₹8,999","4.41,15,610 Ratings & 8,736 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/remi-6-gold-32-gb/p/itmf9f64fpjkbdxp?pid=MOBF8BDJZDPYZZ8H&lid=LSTMOBF8BDJZDPYZZ8HLTSIYR&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBF8BDJZDPYZZ8H.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Remi Note 5 Pro (Gold, 64 GB)","₹16,999","4.576,285 Ratings & 7,202 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB15.21 cm (5.99 inch) Full HD+ Display12MP + 5MP | 20MP Front Camera4000 mAh Li Polymer BatteryQualcomm Snapdragon 636 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/remi-note-5-pro-gold-64-gb/p/itmf2fwcumw7ghwy?pid=MOBF28FTVG9GMYQM&lid=LSTMOBF28FTVG9GMYQMJIDQXI&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBF28FTVG9GMYQM.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Redmi Y2 (Black, 32 GB)","₹10,499","4.561,216 Ratings & 3,873 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) HD+ Display12MP + 5MP | 16MP Front Camera3080 mAh Li Polymer BatteryQualcomm Snapdragon 625 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/redmi-y2-black-32-gb/p/itm4ce00106320c3?pid=MOBFAANUCBGSRADJ&lid=LSTMOBFAANUCBGSRADJICFA9Q&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_2_25&otracker=search&fm=organic&iid=77ec18dc-a8de-40e0-a2fc-ff69e8ea29f7.MOBFAANUCBGSRADJ.SEARCH&ppt=None&ppn=None&ssid=mwtmm4jt8g0000001744007648315&qH=ff5e66b76340c563
"Redmi 8A (Sunset Red, 32 GB)","₹7,880","4.480,086 Ratings & 5,603 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB15.8 cm (6.22 inch) HD+ Display12MP Rear Camera | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/redmi-8a-sunset-red-32-gb/p/itme2e12a5859993?pid=MOBFKF98FTTEN832&lid=LSTMOBFKF98FTTEN832LYHXL8&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_2_26&otracker=search&fm=organic&iid=77ec18dc-a8de-40e0-a2fc-ff69e8ea29f7.MOBFKF98FTTEN832.SEARCH&ppt=None&ppn=None&ssid=mwtmm4jt8g0000001744007648315&qH=ff5e66b76340c563
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹25,999","4.212,647 Ratings & 1,205 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ AMOLED Display108MP + 8MP + 2MP | 16MP Front Camera4500 mAh Li-Polymer BatteryMediatek Dimensity 920 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/xiaomi-11i-hypercharge-5g-pacific-pearl-128-gb/p/itm495eaae251d5b?pid=MOBG9QWVHHSZS9HY&lid=LSTMOBG9QWVHHSZS9HYF9EXKK&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_2_27&otracker=search&fm=organic&iid=77ec18dc-a8de-40e0-a2fc-ff69e8ea29f7.MOBG9QWVHHSZS9HY.SEARCH&ppt=None&ppn=None&ssid=mwtmm4jt8g0000001744007648315&qH=ff5e66b76340c563
"Mi 11 Lite (Jazz Blue, 128 GB)","₹21,999","4.213,263 Ratings & 1,415 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.64 cm (6.55 inch) Full HD+ Display64MP + 8MP + 5MP | 16MP Front Camera4250 mAh Li-Polymer BatteryQualcomm Snapdragon 732G Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/mi-11-lite-jazz-blue-128-gb/p/itmac6203bae9394?pid=MOBG3VSKEVZ3JQVM&lid=LSTMOBG3VSKEVZ3JQVMEAH3XH&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_2_28&otracker=search&fm=organic&iid=77ec18dc-a8de-40e0-a2fc-ff69e8ea29f7.MOBG3VSKEVZ3JQVM.SEARCH&ppt=None&ppn=None&ssid=mwtmm4jt8g0000001744007648315&qH=ff5e66b76340c563
"Mi 11 Lite (Vinyl Black, 128 GB)","₹21,999","4.213,263 Ratings & 1,415 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.64 cm (6.55 inch) Full HD+ Display64MP + 8MP + 5MP | 16MP Front Camera4250 mAh Li-Polymer BatteryQualcomm Snapdragon 732G Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKHGETEBVM&lid=LSTMOBG3VSKHGETEBVMNKGWJP&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_2_29&otracker=search&fm=organic&iid=77ec18dc-a8de-40e0-a2fc-ff69e8ea29f7.MOBG3VSKHGETEBVM.SEARCH&ppt=None&ppn=None&ssid=mwtmm4jt8g0000001744007648315&qH=ff5e66b76340c563
"Y3 (Elegant Blue, 64 GB)","₹8,290","4.33,091 Ratings & 213 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB15.9 cm (6.26 inch) HD+ Display12MP + 2MP | 32MP Front Camera4000 mAh BatteryQualcomm Snapdragon 632 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,https://www.flipkart.com/y3-elegant-blue-64-gb/p/itmfgaz9w4ky2zyd?pid=MOBFFWJWYHFQSHM6&lid=LSTMOBFFWJWYHFQSHM6LGQCA9&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_2_30&otracker=search&fm=organic&iid=77ec18dc-a8de-40e0-a2fc-ff69e8ea29f7.MOBFFWJWYHFQSHM6.SEARCH&ppt=None&ppn=None&ssid=mwtmm4jt8g0000001744007648315&qH=ff5e66b76340c563
